month,portal,school,embeds,maps-created,page-views,bytes-out,deleted-created-ratio,rows-loaded-total,rows-loaded-total-lag,rows-accessed-total,rows-accessed-total-lag,rows-loaded-api,rows-loaded-api-lag,rows-loaded-print,rows-accessed-website,rows-loaded-download,rows-accessed-api,rows-accessed-api-lag,rows-loaded-website,rows-accessed-rss,rows-deleted,maps-deleted,filters-created,rows-loaded-widget,rows-accessed-widget,users-created,datasets-created,rows-accessed-download,datasets-deleted,view-loaded,rows-accessed-print,rows-loaded-rss,bytes-in,filters-deleted,rows-created,disk-usage,geocoding-requests,charts-deleted,charts-created,comments,app-token-created,shares
24,data.baltimorecity.gov,0,614,97,120142,4.15E+11,1.03288401,113106460,82490417,13197,15366,35590826,1486043,3500307,177754,73943252,2197,2866,2034001,1627,77255643,88,2962,235723,19878,32,1138,7965,1133,9164,1408,72075,644986243,2955,74796049,5271592403,,160,160,,,
25,data.baltimorecity.gov,0,977,49,115394,5.26E+11,0.985729763,95721721,81303830,13030,19088,30588052,20789316,3204289,249732,61863829,1943,3380,2866324,1487,93706458,43,4606,374431,34124,61,2352,8235,2325,12227,1365,65551,920019145,4567,95063030,5358557169,,203,203,3,29,
26,data.baltimorecity.gov,0,896,59,100795,2.81E+11,0.984098345,119938787,113106460,12483,13197,45434341,35590826,1762915,278353,72644020,2970,2197,3316688,2189,91095808,51,2865,336085,34463,65,2057,6339,2048,12719,985,97511,981304281,2847,92567789,5411841034,,134,134,1,35,
27,data.baltimorecity.gov,0,899,232,100716,5.64E+11,0.980502506,88598999,95721721,15950,13030,21599687,30588052,2557120,283897,64343960,4800,1943,3709365,2308,137739333,212,5443,365732,34424,29,2871,7639,2853,14208,1203,98232,1046182584,5414,140478308,5415285162,,229,230,3,1,6
28,data.baltimorecity.gov,0,895,526,105113,6.26E+11,0.986343621,170259037,119938787,21229,12483,11219204,45434341,2633578,249487,156275284,3282,2970,4206992,3326,215557692,504,5992,341343,22870,39,3645,13519,3623,17145,1102,130971,974603695,5956,218542187,5733381028,1360,265,269,,2,
29,data.baltimorecity.gov,0,1340,765,93180,2.42E+11,0.973499983,138609980,88598999,26434,15950,32952100,21599687,2593115,214552,102854819,5776,4800,3542374,6049,125807308,747,6549,680945,37831,35,1962,13502,1917,19601,1107,209946,940676478,6517,129231957,5351026470,,338,338,3,1,3
30,data.baltimorecity.gov,0,2934,448,94996,98460123838,0.950486853,126604266,170259037,21341,21229,24215776,11219204,2140506,228018,100134424,4438,3282,3130511,2807,102550360,447,4244,722804,41050,25,1215,13106,1208,17176,990,113560,1195520480,4241,107892455,5431092274,,234,236,2,2,3
31,data.baltimorecity.gov,0,2049,405,85502,1.26E+11,0.974129239,123452383,138609980,15285,26434,21558093,32952100,597056,281005,101203097,4187,5776,3532705,2617,200556997,390,5882,637488,45182,46,3262,8232,3261,18333,249,94137,1201002532,5856,205883356,5849636185,4810,291,291,,1,1
32,data.baltimorecity.gov,0,2413,342,87453,1.45E+11,0.9767495,137976737,126604266,15017,21341,16424912,24215776,409039,323393,121072551,6069,4438,3727079,1899,213518398,338,6627,758234,50689,29,3906,6867,3901,18298,182,70235,1375132559,6610,218600980,6694170469,5,263,264,2,,4
33,data.baltimorecity.gov,0,2197,467,84274,1.27E+11,0.970555174,138667148,123452383,13083,15285,23526454,21558093,244360,274435,114833662,4200,4187,3562962,1659,110220023,458,4457,705166,36564,42,2508,7105,2307,18008,119,62672,1099107399,4443,113563892,6810776681,,162,164,1,3,6
34,data.baltimorecity.gov,0,2604,690,90839,1.53E+11,0.969805295,152385703,137976737,12025,15017,47509421,16424912,319190,283753,104505056,4686,6069,3494393,1343,167474213,682,6963,804782,48553,33,2539,5857,2527,18069,139,52036,1367937940,6954,172688491,6996923329,,302,303,2,1,
35,data.baltimorecity.gov,0,2689,287,93459,1.45E+11,1.059892444,195760922,138667148,9616,13083,9425422,23526454,322427,270414,185955698,2617,4200,3211186,1508,175203866,284,6541,906356,52972,33,2759,5343,2759,17490,148,57375,1265228377,6522,165303439,8210458752,0,256,257,4,2,
36,data.baltimorecity.gov,0,2779,411,97861,1.56E+11,1.023914965,342827187,152385703,26356,12025,15547181,47509421,447234,250526,326750045,17280,4686,3602818,2249,126565967,404,6074,758387,43742,22,2487,6595,2481,17816,232,82727,1050201688,6069,123609842,6313742582,4790,251,257,,1,
1,data.raleighnc.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,data.raleighnc.gov,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,data.raleighnc.gov,0,,,144,30688652,0.351351351,,,,,,,,13,,,,165,,13,,,,,,29,,18,16,,,87473,,37,524288,,,2,,,
4,data.raleighnc.gov,0,,,,289290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524288,,,,,,
5,data.raleighnc.gov,0,,,,146556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524288,,,,,,
6,data.raleighnc.gov,0,,,,15923263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524288,,,,,,
7,data.raleighnc.gov,0,,,146,12749034,0,,,,,,,,56,,,,1482,,,,2,78,5,,3,,,26,,,159374,,1407,524288,,,1,,,
8,data.raleighnc.gov,0,,,1,427701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474560,,,,,,
9,data.raleighnc.gov,0,,,44,1626662,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,1474560,,,,,,
10,data.raleighnc.gov,0,,,,119206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474560,,,,,,
11,data.raleighnc.gov,0,,,30,2151361,,,,,,,,,,,,,,,,,,,,1,,,,,,,138,,,1474560,,,,,,
12,data.raleighnc.gov,0,,,4,372771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474560,,,,,,
13,data.raleighnc.gov,0,,,38,92028997,,,,,,,,,16,,,,163,,,,,,,,,,,4,,,30108,,,1474560,,,,,,
14,data.raleighnc.gov,0,,2,449,196512703,0.429365882,108,,1,,,,,422,108,,,8897,,17835,,1,,,,16,1,17,58,,,1327551,2,41538,933888,8450,1,1,,,
15,data.raleighnc.gov,0,12,12,5935,7117532619,0.61527327,191123,,180,,359,,,3041,189825,124,,79897,35,800393,5,12,4296,87,19,66,21,110,1100,,939,20803479,91,1300874,21389312,85859,7,8,2,,35
16,data.raleighnc.gov,0,8,7,5116,7994246866,0,1162386,108,318,1,1098,,161323,4472,994528,37,,82639,138,,5,6,3405,66,9,17,110,13,1093,33,5437,21637598,2,52361,367738880,,,,,,6
17,data.raleighnc.gov,0,19,10,28744,9921943894,0.77055016,2467358,191123,608,180,5462,359,296861,4868,2157780,93,124,130076,180,930568,9,11,2855,57,53,17,273,14,1380,62,7255,23162308,6,1207667,298541056,105169,5,8,,,14
18,data.raleighnc.gov,0,17,24,95449,8990439231,0.010351994,1577149,1162386,16211,318,47329,1098,54929,8535,1465814,15821,37,171556,262,24167,17,8,2339,47,41,118,111,11,2124,17,9077,33509077,1,2334526,1713635328,21613,3,331,1,,20
19,data.raleighnc.gov,0,29,10,9654,8370635031,0.078110737,3317513,2467358,20946,608,50224,5462,47936,10377,3160257,17190,93,397827,2007,24729,1,152,6211,128,65,16,1662,2,3191,87,59096,35151023,26,316589,1785380864,16647,65,227,,,10
20,data.raleighnc.gov,0,8,23,16144,14814120094,0.023364184,5922432,1577149,29710,16211,124366,47329,113609,28495,5538195,19167,15821,692766,4946,6498,1,,4978,132,44,54,5304,12,13311,293,146262,76768712,,278118,1794514944,28478,,,,3,2
21,data.raleighnc.gov,0,64,19,31674,21366357611,0.736759468,14053229,3317513,7956,20946,1790231,50224,156008,20228,12057799,4794,17190,546247,1494,1311994,5,18,3052,75,21,46,1551,32,10207,117,49191,70612894,7,1780763,2309939200,,19,1,,,66
22,data.raleighnc.gov,0,18,16,38090,14088893606,0.010024962,15207178,5922432,6311,29710,415291,124366,97181,15195,14615230,2387,19167,454759,2250,1000,4,3,2910,75,31,12,1556,1,7865,118,79476,60469858,3,99751,2189107200,,6,2,1,,1
23,data.raleighnc.gov,0,43,4,45906,11598346251,0.45272837,18744777,14053229,6408,7956,230178,1790231,146566,11460,18271628,1834,4794,377539,2721,12752,,,4168,97,33,13,1737,5,7352,116,96405,27891577,,28167,2224865280,11264,,5,1,,1
24,data.raleighnc.gov,0,38,7,38913,12301954086,0.594891682,16629236,15207178,6089,6311,493361,415291,90565,13411,15960895,2255,2387,402253,2357,272599,7,9,7665,151,23,14,1413,5,7816,64,84415,32779395,,458233,2232197120,426445,,,7,,8
25,data.raleighnc.gov,0,45,1,56479,12963097068,0.958040799,9117302,18744777,5816,6408,132851,230178,64944,19084,8819824,1708,1834,634525,2860,92518,1,10,9964,479,43,18,1161,11,11355,87,99683,44410812,10,96570,2517966848,2350,119,13,,28,1
26,data.raleighnc.gov,0,65,5,233750,14045089901,0.108074012,17585978,16629236,10905,6089,676725,493361,297787,20122,16504330,5126,2255,508097,3320,257,,21,7039,273,50,16,2250,2,8976,209,107136,62176920,5,2378,2519851008,2196,,6,5,32,
27,data.raleighnc.gov,0,58,40,63701,11173437863,3.63858163,10641646,9117302,10441,5816,86134,132851,180428,30815,10297411,6948,1708,806044,2315,265460,11,6,10355,315,12,68,1071,28,14937,107,77673,69016359,33,72957,2480775168,2972,4,1,1,,7
28,data.raleighnc.gov,0,106,25,61081,10510496589,0.161547605,10410046,17585978,11171,10905,715355,676725,217397,26636,9399129,7826,5126,713959,2404,203318,9,9,8315,232,4,23,818,8,12652,123,78165,60197797,6,1258564,2485936128,148678,4,4,,1,3
29,data.raleighnc.gov,0,110,10,57778,8297596422,0.632167114,5264924,10641646,5922,10441,223946,86134,72635,23328,4870509,1507,6948,714025,3049,275604,6,17,17611,530,4,33,1262,17,10987,104,97834,53703182,10,435967,3501154304,68520,23,27,1,,17
30,data.raleighnc.gov,0,59,18,52849,7832392873,2.759614752,9005496,10410046,6567,11171,1639008,715355,95676,21395,7185175,2931,7826,569502,2602,167906,18,15,11123,230,3,30,961,20,8400,73,85637,49499877,2,60844,3484704768,14060,19,19,,2,1
31,data.raleighnc.gov,0,62,20,48069,8430651063,0.754248544,4140073,5264924,4247,5922,1133975,223946,62873,15277,2891387,2471,1507,338240,1504,1504354,18,26,9796,192,4,30,241,36,3990,31,51838,49475292,3,1994507,3492896768,184899,14,9,,,16
32,data.raleighnc.gov,0,69,12,38057,45823005467,0.044339004,13028588,9005496,8527,6567,6809284,1639008,103926,14963,6056825,5809,2931,350414,1689,26894,13,18,7772,176,4,17,963,8,5610,66,58553,43359194,13,606554,3830325248,2430,11,12,7,,4
33,data.raleighnc.gov,0,46,21,45700,10535008807,0.052473911,23219110,4140073,17784,4247,15059543,1133975,127902,23968,7972390,15743,2471,346225,1607,11666,13,12,2825,106,,17,393,10,3063,41,59275,65093385,10,222320,3832152064,66136,10,10,,,7
34,data.raleighnc.gov,0,95,13,56695,12556585526,0.485014337,25466226,13028588,18680,8527,16764988,6809284,165747,13547,8481279,16592,5809,368076,1486,114848,8,11,2417,124,4,6,545,4,6912,57,54212,29837160,8,236793,4114178048,3066,9,9,,1,1
35,data.raleighnc.gov,0,44,11,46200,19360815527,0.193200541,39835538,23219110,18700,17784,14589288,15059543,302527,16782,24871512,15621,15743,526645,1941,34006,10,49,3129,98,4,5,1049,6,9020,89,72211,32669318,9,176014,4126703616,1988,16,14,,,2
36,data.raleighnc.gov,0,57,13,63949,26872491553,0.026920025,92526160,25466226,22241,18680,19240078,16764988,221689,13118,72997658,18766,16592,317079,1956,3291,11,80,2599,99,6,3,1454,,5765,65,66735,28845031,10,122251,4139884544,1942,9,9,1,,6
1,data.ok.gov,0,818,3,25285,11250734388,0.392184774,20950423,,2349,,533601,,3501120,107296,16882857,597,,1355935,708,844184,1,24,61955,3580,7,17,899,10,4560,145,32845,442500430,10,2152516,10487537664,3562,11,10,1,,
2,data.ok.gov,0,940,5,68849,15861696816,0.000248471,27239457,,2668,,4856536,,4155652,164933,18175609,486,,1884696,1105,562,3,8,75898,4051,6,30,874,22,5307,203,51660,674887221,4,2261833,11131723776,158,11,13,1,,14
3,data.ok.gov,0,1118,3,58527,10313341368,0.147690676,29054326,20950423,3540,2349,2500966,533601,6353386,145876,20129029,667,597,1599868,1464,71587,1,7,80046,3827,8,10,1171,1,5732,238,70945,573809324,3,484709,10841382912,239,7,7,,1,
4,data.ok.gov,0,946,2,57953,8673739417,0,34340397,27239457,3141,2668,748999,4856536,3996453,142793,29519398,268,486,1547806,1581,,1,1,63236,2649,3,14,1103,2,4409,189,75547,569672028,,790,10981203968,616,7,7,,,
5,data.ok.gov,0,569,4,56144,15606782008,0.213273869,56385388,29054326,5973,3540,198086,2500966,6980835,149331,49102011,1284,667,1786214,2253,220744,4,9,112849,7413,9,15,2145,4,6097,291,104456,562255180,,1035026,11203847428,236,7,7,,,
6,data.ok.gov,0,521,4,42768,13574647528,0,36880516,34340397,3860,3141,188717,748999,2711854,128230,33903883,787,268,1187188,1639,,4,1,123434,6346,5,8,1313,,5059,121,76062,482236238,,157514,11789649156,238,,,,,
7,data.ok.gov,0,525,6,81173,11472787097,0.000463652,47884887,56385388,4190,5973,379143,198086,3629066,171103,43804941,909,1284,1412671,1543,163,5,2,99204,6428,12,9,1553,5,5629,185,71737,625407306,2,351557,12012029188,1,9,9,,,
8,data.ok.gov,0,607,16,58236,15375432975,0.7873594,91329731,36880516,5519,3860,1508017,188717,6380448,158271,83369592,896,787,1434836,1546,7350,13,9,126621,5801,12,23,2616,14,6432,461,71674,586904339,4,9335,12012151666,222,,,,,6
9,data.ok.gov,0,573,16,30142,18486173172,0.012052306,64800962,47884887,3775,4190,137211,379143,3990248,187453,60628829,700,909,2714478,979,11684,19,2,118095,5741,8,30,1834,15,49353,262,44674,599484854,7,969441,12411298674,2058,,,,,2
10,data.ok.gov,0,530,16,58549,17982981681,0.181398124,68966339,91329731,4387,5519,56240,1508017,682951,176251,68178824,1296,896,1449832,1047,548674,19,4,125200,8485,11,31,1832,43,6508,212,48324,672744738,2,3024695,13148554098,5527,7,,,1,3
11,data.ok.gov,0,674,8,57457,17251194157,0.489542367,45985559,64800962,3420,3775,46638,137211,333326,144145,45550559,618,700,1260261,1193,2199507,8,3,140110,10174,8,40,1450,25,5704,159,55036,544082157,1,4492986,13856924530,7941,,,,,
12,data.ok.gov,0,959,18,61876,82102634945,0.047338007,53228528,68966339,3980,4387,203016,56240,563435,155681,52414767,836,1296,1456081,1033,377326,12,20,160309,13686,18,105,1873,40,6917,238,47310,632085075,15,7970889,19723486066,4266,13,38,,,4
13,data.ok.gov,0,1545,23,47014,45928805202,40.54127064,73508979,45985559,4817,3420,58936,46638,893715,222265,72489322,666,618,1955438,1524,972504,19,2,147226,11057,17,114,2303,81,10134,324,67006,828992111,1,23988,19839263602,984,42,61,,,28
14,data.ok.gov,0,1870,16,47492,45856787327,0.00055007,60287675,53228528,3631,3980,249999,203016,394879,187067,59589905,378,836,1759508,1200,3723,15,15,134587,8913,18,94,1901,15,9021,152,52892,710215593,15,6768225,17271333746,1,16,18,,,
15,data.ok.gov,0,1700,14,70352,38147062798,0.222408555,97722336,73508979,4009,4817,47784,58936,523739,185953,97122426,323,666,1679469,710,920142,12,18,202111,16213,38,41,2820,20,8829,156,28387,772549348,12,4137170,17417667442,7752,2,1,1,1,
16,data.ok.gov,0,7780,17,74198,25089585063,0.472331846,133200353,60287675,4993,3631,97823,249999,727962,264716,132346737,242,378,2329859,650,988600,16,23,344344,23764,38,46,3882,13,15536,219,27831,1052533715,10,2093020,19025445746,484,5,9,6,,4
17,data.ok.gov,0,12213,41,61135,22499894579,0.532470583,95886390,97722336,4102,4009,177081,47784,461184,181210,95224502,308,323,1646348,584,192683,32,10,398525,45020,29,32,3041,6,19072,169,23623,980791677,3,361866,19148325746,13,1,2,,2,12
18,data.ok.gov,0,9307,16,50591,18393376076,0.029600096,27773545,133200353,1664,4993,3718,97823,363645,269731,27392490,269,242,2257350,345,10609,16,8,333251,24207,36,21,915,26,16711,135,13692,1066678038,4,358411,19299599218,438,,,,,
19,data.ok.gov,0,9360,6,48634,21616819934,0.530578145,54705303,95886390,2682,4102,4919,177081,700352,364449,53974659,358,308,3006229,585,577928,6,10,391932,29355,77,8,1504,6,17099,235,25373,1419208815,10,1089242,19299492722,2,,,,,
20,data.ok.gov,0,10324,5,52592,22374821839,2.40168E-05,34707448,27773545,3350,1664,723578,3718,537350,330752,33416858,1053,269,3041635,734,9,5,6,399199,29618,29,8,1348,3,25579,215,29662,1300073093,3,374738,19665699698,237,,,,,
21,data.ok.gov,0,8390,10,108319,18677771933,0.044343187,38653125,54705303,1866,2682,599683,4919,541362,277935,37494728,119,358,2393842,368,25643,10,8,406497,30210,20,15,1219,13,15412,160,17352,1178279799,7,578285,19665339250,3782,,,,,
22,data.ok.gov,0,7214,3,147509,19456235040,0.068346845,58595155,34707448,2784,3350,8933703,723578,779813,332073,48866032,764,1053,2785601,338,13253,3,6,365280,27333,77,26,1445,8,15492,237,15607,1295630787,2,193908,19667173234,,1,,,,
23,data.ok.gov,0,6966,3,119052,40435276576,0.48167552,56738048,38653125,3132,1866,15774545,599683,1145747,274856,39798179,700,119,2377298,458,17262847,3,31,345851,26542,22,127,1580,88,15332,394,19577,1092288791,38,35839162,19668582258,31711,7,18,,,2
24,data.ok.gov,0,5528,34,48223,26117308653,0.083992654,27626615,58595155,4562,2784,10631,8933703,733029,225311,26840330,533,764,2321905,1114,267684,28,9,278209,22566,16,99,2356,52,16908,559,42625,922351530,1,3186993,25821028210,152374,4,4,,2,29
25,data.ok.gov,0,9312,5,73736,46190194489,0.267799312,34627899,56738048,3427,3132,102181,15774545,457983,297544,34022722,723,700,2865105,1175,3558077,5,3,496191,36960,40,91,1273,22,21008,256,45013,1258343672,,13286356,29195280242,3214,64,67,,31,4
26,data.ok.gov,0,7558,9,132548,1.02E+11,0.002577623,31221215,27626615,2357,4562,89668,10631,762330,250615,30333571,130,533,2333618,938,130928,9,2,614460,48067,45,73,1007,20,16928,282,35646,1088407690,,50794078,37331779442,173,,,,38,4
27,data.ok.gov,0,7577,6,137559,25362606052,0.04057384,33956228,34627899,4511,3427,553483,102181,410231,305706,32945177,1480,723,3076245,1240,6191,6,11,549874,41970,12,59,1527,24,18555,264,47337,1240611487,5,152586,54153240434,36,15,18,1,,5
28,data.ok.gov,0,7859,53,82029,22857374139,0.272028106,17835643,31221215,4571,2357,396103,89668,611791,269150,16770834,1187,130,2633691,1521,18428,52,4,552970,43760,9,115,1565,67,19883,298,56915,1136606832,4,67743,54155157362,1,8,10,,,2
29,data.ok.gov,0,7125,30,90783,30572724912,0.011144306,33630093,33956228,6773,4511,169124,553483,369439,213991,33038241,1952,1480,2070236,1409,14496,29,1,584774,50923,10,42,3202,33,16722,210,53289,926936628,,1300754,50197757810,243,,,,,
30,data.ok.gov,0,7111,7,79862,24931165713,0.491523431,32585332,17835643,9228,4571,199351,396103,532803,272509,31813855,5118,1187,2499604,1060,25079,8,2,560766,50142,10,32,2721,41,16255,329,39323,1196484827,1,51023,50198183794,2125,,,,,
31,data.ok.gov,0,5816,4,61380,27929624925,0.03878857,68013296,33630093,6728,6773,546696,169124,574627,267007,66865116,3311,1952,2404012,796,22531,4,,544289,44118,4,53,2317,30,14489,304,26857,1099637681,,580867,50203189106,625,,,,,
32,data.ok.gov,0,6311,5,73899,37314169419,0.490420344,91877868,32585332,4699,9228,72688,199351,145112,250726,91622740,2337,5118,2348631,1090,25341,3,,673911,52144,6,30,1191,21,20929,81,37328,1035460896,,51672,50662932338,7319,3,,,1,1
33,data.ok.gov,0,10601,3,66957,30906409242,0.022753759,80889942,68013296,5823,6728,47081,546696,380259,228075,80435537,2996,3311,2708903,771,5916,3,2,1520374,123516,9,17,1896,14,18581,160,27065,1182375935,1,260001,50662899570,939,,,,1,1
34,data.ok.gov,0,10316,10,74323,55085381024,0.376750922,85573047,91877868,6711,4699,2497474,72688,356552,279492,82693261,3932,2337,2484994,714,3038321,8,14,1494596,117216,6,62,1904,25,19624,161,25760,1366450256,9,8064535,51175612274,23437,,,,,9
35,data.ok.gov,0,9018,1,77543,88384682582,0.436038361,201222455,80889942,10356,5823,212635,47081,303501,201057,200665445,6058,2996,1963613,1142,695779,1,7,1330363,104095,4,58,2981,26,20106,175,40874,1033894975,2,1595683,55759224690,722,14,18,,,
36,data.ok.gov,0,9638,18,166175,4.38E+11,0.190977132,1265848637,85573047,37664,6711,53825419,2497474,355529,198514,1211632128,31611,3932,1751094,1097,245516,13,7,1286142,108183,2,194,4744,56,19559,212,35561,1020705912,12,1285578,57035792242,6180,60,118,,,
1,data.seattle.gov,0,1118,2404,32882,2.04E+11,1.121227932,35419988,,179199,,6830017,,1341470,65505,26918606,153412,,24256620,7417,72589237,2396,3561,4319661,5133,15,369,17957,361,40012,413,329895,243072786,3534,64740839,2719636632,,11,8,,,2
2,data.seattle.gov,0,1076,4952,55527,2.73E+11,1.067073449,46685972,,129654,,8891103,,1859269,69071,35296531,110659,,1846924,14394,107200527,4949,6490,84106,3841,16,543,3708,565,28816,893,639069,368331977,6356,100462182,2655930486,,16,16,,2,1
3,data.seattle.gov,0,1606,6928,51059,3.39E+11,1.019950879,70022261,35419988,130963,179199,25888193,6830017,1417395,47203,41874317,108727,153412,1072658,18761,118917350,6922,9478,322023,7156,20,587,2964,602,12999,511,842356,339888354,9456,116591252,2728876104,,8,9,,,
4,data.seattle.gov,0,1561,7397,30858,2.97E+11,0.980898535,69552784,46685972,346945,129654,28263617,8891103,1858245,47065,38766131,329162,110659,822080,14603,116946950,7383,11917,194937,5357,28,592,2592,578,7414,588,664791,356682686,11878,119224309,2758671591,0,76,78,,,
5,data.seattle.gov,0,1012,8390,30620,2.88E+11,0.994788207,56827780,70022261,314135,130963,26533343,25888193,3039013,42144,26459732,293666,108727,843071,17672,126985407,8407,13036,99265,3776,27,602,2272,575,8711,525,795692,321888501,13075,127650696,2809126428,1,180,180,,,1
6,data.seattle.gov,0,952,7761,22533,3.00E+11,0.995530195,82633119,69552784,222926,346945,22739837,28263617,678592,34913,58540070,205751,329162,680511,14425,111239425,7781,11691,71730,3794,22,477,2413,466,7162,337,674620,273506509,11707,111738876,2926108188,290,152,152,,,1
7,data.seattle.gov,0,652,7810,18744,2.39E+11,1.006969407,191247972,56827780,210754,314135,6289802,26533343,839506,40332,183344630,190069,293666,730293,16165,107496708,7876,11627,66591,4965,24,523,4149,502,7416,371,774034,321616310,11719,106752705,2905005275,,150,150,,1,
8,data.seattle.gov,0,773,8264,188653,3.59E+11,0.968828557,82325362,82633119,196686,222926,11513162,22739837,685408,55793,69444493,177744,205751,1101241,14874,92492799,8217,12281,69439,4433,19,494,3620,468,12859,448,682299,365040776,12201,95468696,2921700571,,156,157,3,1,2
9,data.seattle.gov,0,2867,12667,175598,5.85E+11,0.995848958,134747178,191247972,210471,210754,12361890,6289802,669926,37029,121066405,193923,190069,779677,13485,177052772,12667,20660,66381,3463,11,615,2817,610,9796,246,648957,314362336,20641,177790789,2995760554,0,277,277,8,,
10,data.seattle.gov,0,1065,76536,53223,2.01E+12,0.999068762,463153003,82325362,255046,196686,9927724,11513162,456474,50769,452037252,235453,177744,937524,14953,1036289300,76528,143744,58453,2901,14,1866,4302,1856,8499,338,731553,490405562,143737,1037255231,3180328659,,1925,1925,,1,1
11,data.seattle.gov,0,2254,78826,96143,1.14E+12,0.995976153,429111116,134747178,231397,210471,33909410,12361890,699273,42518,393721390,208226,193923,897702,16467,841220967,78777,148879,105665,4479,14,1183,5964,1175,10974,740,781043,418250469,148796,844619587,3530050147,,1942,1943,,1,
12,data.seattle.gov,0,819,33705,75622,8.61E+11,1.01051837,62762946,463153003,240571,255046,21787633,9927724,486755,36536,39497485,213235,235453,658150,20267,835619734,33367,63600,60754,4410,16,1076,6723,1060,8287,346,991073,389392043,62973,826921864,3174097852,,810,817,2,,2
13,data.seattle.gov,0,1246,25915,106360,1.58E+12,0.997942811,50546770,429111116,291058,231397,7700599,33909410,704815,52859,40796293,257979,208226,966328,27643,450550491,25909,46973,87443,5404,15,980,4964,975,10793,472,1345063,424334859,46956,451479269,3284130868,,572,572,2,1,1
14,data.seattle.gov,0,745,27345,119052,2.26E+12,0.998632058,95252471,62762946,274843,240571,17960124,21787633,436942,50816,75775433,249030,213235,1008361,21705,486535371,27331,51496,62578,3483,14,919,3858,897,14921,250,1079972,357471666,51478,487201835,3271954958,16452,640,642,2,,
15,data.seattle.gov,0,1036,32535,119303,2.83E+12,0.99963882,86901165,50546770,261154,291058,7450104,7700599,725166,49943,77793422,237098,257979,1014563,18970,570457365,32533,60678,70859,3324,28,1107,4649,1074,11445,437,932473,388483457,60657,570663477,3347436046,,755,757,,,2
16,data.seattle.gov,0,642,33917,112756,3.23E+12,0.999178186,68243526,95252471,468933,274843,20735281,17960124,567910,50597,44683699,419180,249030,864947,45455,589381278,33909,71501,60024,3394,35,1130,3900,1111,9476,398,2256636,375348177,71472,589866038,3433650598,,876,876,,,1
17,data.seattle.gov,0,620,37733,83196,2.39E+12,0.999175218,67698380,86901165,472242,261154,13707352,7450104,418837,49251,50940696,415748,237098,799762,52890,634187569,37736,79546,71822,5067,50,1288,3286,1276,8444,318,2631495,396117555,79538,634711067,3498446259,68,933,934,,3,7
18,data.seattle.gov,0,25350,37885,76807,1.70E+12,0.999131917,99277773,68243526,307204,468933,13013341,20735281,537456,60535,84874174,286343,419180,1025047,17190,623393880,37873,79153,2015706,48958,57,1364,3455,1296,34672,216,852802,954336092,79125,623935508,3539357107,32,907,905,1,,4
19,data.seattle.gov,0,1065,39703,112507,1.29E+12,0.999238493,94851365,67698380,445669,472242,12689015,13707352,512582,92778,80544040,415871,415748,1234075,22456,671080311,39699,88571,121726,6015,121,1412,6905,1354,12342,437,1105728,619162692,88535,671591733,3673775016,61,942,945,,1,35
20,data.seattle.gov,0,744,41015,150943,1.99E+12,0.999176576,156428190,99277773,476107,307204,12724090,13013341,456822,79267,141956976,440792,286343,1981417,26800,695010694,41009,93112,73615,4855,73,1413,7707,1378,27326,808,1290302,560500791,93100,695583454,3747257861,3,948,949,1,,15
21,data.seattle.gov,0,663,38885,80534,2.10E+12,0.999356484,172436996,94851365,437335,445669,18619890,12689015,557227,66886,152134549,408850,415871,1106282,22929,668183639,38878,92563,73800,5481,39,1408,5244,1369,13997,312,1125330,535953402,92546,668613903,3815991931,77,896,888,1,2,17
22,data.seattle.gov,0,830,36091,146508,1.20E+12,0.998820851,133966112,156428190,326945,476107,8937199,12724090,476698,62713,123251836,294653,440792,1130846,26174,629576390,36084,87701,78531,4808,30,1236,5843,1207,10762,275,1300379,502730394,87685,630319631,3842476667,3,805,806,1,4,4
23,data.seattle.gov,0,735,41814,104555,6.09E+11,0.99791138,240117440,172436996,309891,437335,18114885,18619890,480782,56700,220159036,278035,408850,932151,27486,733707130,41804,100106,78297,4598,42,1338,4110,1317,9321,260,1362737,493453871,100076,735242773,3877520377,,901,901,2,,3
24,data.seattle.gov,0,995,41420,109418,1.55E+12,0.999255936,406446755,133966112,366926,326945,31168719,8937199,1219240,43571,372786462,333780,294653,753596,25778,700307800,41410,100829,93584,4368,18,1290,6848,1272,8739,520,1272334,410957168,100807,700829262,3910812665,320,853,853,2,,6
25,data.seattle.gov,0,1272,19599,118798,5.91E+11,0.99397065,217213071,240117440,301948,309891,17195014,18114885,964684,61970,197743650,270363,278035,1030668,26567,321292068,19595,48430,95664,6320,23,856,4586,826,11405,432,1309723,499284358,48412,323241001,3948868301,271,433,433,9,,5
